id,res_type,locate_x,locate_y,res_name
1,kor,37.508672,127.056003,박서방순대국밥삼성본점
2,etc,37.508612,127.056024,써브웨이 삼성점
3,kor,37.509716,127.056293,JVL 부대찌개
4,kor,37.509468,127.056051,삼대나주곰탕삼성점
5,kor,37.509314,127.056208,백암순대국
6,kor,37.509123,127.056273,한방정통삼계탕
7,kor,37.508806,127.056522,오븐에빠진닭삼성점
8,jpn,37.508902,127.056473,IZAKAYA TAN
9,etc,37.508582,127.05659,EMOI
10,kor,37.508718,127.056927,한솥
11,kor,37.508667,127.056784,오감만족
12,kor,37.508553,127.05719,아우네
13,kor,37.508902,127.056659,교대이층집 삼성점
14,kor,37.508907,127.056821,돈꼬레
15,chn,37.508926,127.056796,화양연화
16,chn,37.508739,127.056331,큐큐면관
17,chn,37.508666,127.055901,리칭
18,kor,37.508161,127.057467,본설 삼성점
19,kor,37.508448,127.057713,명동칼국수
20,kor,37.509687,127.056571,제주생선구이 올래밥상
21,kor,37.508398,127.05724,바른식탁
22,jpn,37.508742,127.0572,동경규동
23,chn,37.508733,127.057509,일일향
24,etc,37.509945,127.056595,루나아시아
25,kor,37.509171,127.055014,원조광양불고기 삼성점
26,kor,37.507991,127.055325,장정정
27,kor,37.508066,127.05553,김밥천국
28,kor,37.507995,127.055644,윤화식당
